ts,ms_played,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,skipped
2018-12-10 19:37:22+00:00,6489,Don't Stop Me Now - Remastered 2011,Queen,Jazz,False
2018-12-10 19:37:24+00:00,1974,Usted,Juan Magán,Usted,False
2018-12-10 19:37:38+00:00,13265,Ya No Quiero Ná,Lola Indigo,Ya No Quiero Ná,False
2018-12-10 19:38:27+00:00,42315,Asesina,Brytiago,Asesina,False
2018-12-10 19:38:31+00:00,3348,Ya No Quiero Ná,Lola Indigo,Ya No Quiero Ná,False
2018-12-10 22:18:08+00:00,8530,Asesina,Brytiago,Asesina,False
2018-12-12 11:34:02+00:00,4582,Genius,Sia,Mountains,False
2018-12-12 11:36:56+00:00,173635,X,Nicky Jam,X,False
2018-12-13 20:35:12+00:00,7076,Asesina,Brytiago,Asesina,False
2018-12-13 20:40:03+00:00,7580,"The Moon Song (from ""Her"") - Cover Version",Cinescore,Soundtracks from the 2014 Academy Awards Nominees,False
2018-12-17 12:50:23+00:00,4568,Genius,Sia,Mountains,False
2018-12-17 12:54:35+00:00,159769,X,Nicky Jam,X,False
2018-12-17 12:54:40+00:00,5372,Thunderclouds,Sia,Mountains,False
2018-12-17 12:58:12+00:00,212348,Qué Tienes Tú (feat. Jesús de Reik & Mau y Ricky),Dvicio,Qué Tienes Tú (feat. Jesús de Reik & Mau y Ricky),False
2018-12-17 12:58:17+00:00,4640,Don't Leave Me Alone (feat. Anne-Marie),David Guetta,7,False
2018-12-17 13:01:42+00:00,205920,no tears left to cry,Ariana Grande,Sweetener,False
2018-12-17 13:05:12+00:00,209413,Don't Stop Me Now - Remastered 2011,Queen,Jazz,False
2018-12-17 13:05:46+00:00,3826,Better Now,Post Malone,beerbongs & bentleys,False
2018-12-17 13:05:47+00:00,1764,Lo siento,Beret,Lo siento,False
2018-12-17 13:05:48+00:00,1580,In My Mind,Dynoro,In My Mind,False
2018-12-17 13:05:49+00:00,1350,I'm a Mess,Bebe Rexha,Expectations,False
2018-12-17 13:05:50+00:00,1391,One Kiss (with Dua Lipa),Calvin Harris,One Kiss (with Dua Lipa),False
2018-12-17 13:05:51+00:00,1074,Back To You - From 13 Reasons Why – Season 2 Soundtrack,Selena Gomez,Back To You,False
2018-12-17 13:07:13+00:00,82018,One Kiss (with Dua Lipa),Calvin Harris,One Kiss (with Dua Lipa),False
2018-12-17 13:10:40+00:00,207905,Back To You - From 13 Reasons Why – Season 2 Soundtrack,Selena Gomez,Back To You,False
2018-12-17 13:10:47+00:00,7078,Believer,Imagine Dragons,Evolve,False
2018-12-17 13:10:49+00:00,2174,Flames,David Guetta,7,False
2018-12-17 13:13:46+00:00,177345,Mujeres,Mozart La Para,Mujeres,False
2018-12-17 13:13:47+00:00,1414,Natural,Imagine Dragons,Origins,False
2018-12-17 13:17:09+00:00,201894,No Es Justo,J Balvin,Vibras,False
2018-12-17 13:17:10+00:00,1446,Usted,Juan Magán,Usted,False
2018-12-17 13:17:12+00:00,2109,Clandestino,Shakira,Clandestino,False
2018-12-17 13:17:13+00:00,1434,Girls Like You (feat. Cardi B) - Cardi B Version,Maroon 5,Girls Like You (feat. Cardi B),False
2018-12-17 13:17:14+00:00,1553,Déjala Que Baile (with Alejandro Sanz & Arkano),Melendi,Ahora,False
2018-12-17 13:17:15+00:00,1265,Ni La Hora,Ana Guerra,Ni La Hora,False
2018-12-17 15:02:27+00:00,0,Bohemian Rhapsody - Remastered 2011,Queen,A Night At The Opera,False
2018-12-17 15:05:58+00:00,188560,Sin Pijama,Becky G,Sin Pijama,False
2018-12-17 15:09:29+00:00,212500,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",False
2018-12-17 15:12:39+00:00,185466,Walk On Water,Thirty Seconds To Mars,AMERICA,False
2018-12-17 15:16:50+00:00,253390,I Like It,Cardi B,Invasion of Privacy,False
2018-12-17 15:20:46+00:00,235545,Girls Like You (feat. Cardi B) - Cardi B Version,Maroon 5,Red Pill Blues,False
2018-12-17 15:23:40+00:00,176133,Vaina Loca,Ozuna,Aura,False
2018-12-17 15:26:32+00:00,172749,El Clavo,Prince Royce,El Clavo,False
2018-12-17 15:29:58+00:00,206000,Ya Es Hora,Ana Mena,Index,False
2018-12-17 15:30:03+00:00,4663,Flames,David Guetta,7,False
2018-12-17 15:33:40+00:00,219184,Cuando Nadie Ve,Morat,Cuando Nadie Ve,False
2018-12-17 15:34:39+00:00,6909,IDGAF,Dua Lipa,Dua Lipa,False
2018-12-17 15:34:43+00:00,3380,Believer,Imagine Dragons,Evolve,False
2018-12-17 15:37:49+00:00,187666,Mujeres,Mozart La Para,Mujeres,False
2018-12-17 15:41:26+00:00,217653,No Me Acuerdo,Thalia,Valiente,False
2018-12-17 15:41:29+00:00,2737,Girls Like You (feat. Cardi B) - Cardi B Version,Maroon 5,Girls Like You (feat. Cardi B),False
2018-12-17 15:41:30+00:00,1286,Natural,Imagine Dragons,Origins,False
2018-12-17 15:45:22+00:00,233748,Usted,Juan Magán,Usted,False
2018-12-17 15:48:34+00:00,192975,Ya No Quiero Ná,Lola Indigo,Ya No Quiero Ná,False
2018-12-17 15:53:16+00:00,250840,No Es Justo,J Balvin,Vibras,False
2018-12-17 15:57:03+00:00,14118,Ni La Hora,Ana Guerra,Ni La Hora,False
2018-12-20 15:14:42+00:00,4825,Genius,Sia,Mountains,False
2018-12-20 15:18:52+00:00,250840,No Es Justo,J Balvin,Vibras,False
2018-12-20 15:23:05+00:00,253390,I Like It,Cardi B,Invasion of Privacy,False
2018-12-20 15:25:46+00:00,160986,Lo siento,Beret,Lo siento,False
2018-12-20 15:25:47+00:00,0,Flames,David Guetta,7,False
2018-12-20 15:25:47+00:00,753,Cuando Nadie Ve,Morat,Cuando Nadie Ve,False
2018-12-20 15:25:49+00:00,2092,Girls Like You (feat. Cardi B) - Cardi B Version,Maroon 5,Girls Like You (feat. Cardi B),False
2018-12-20 15:29:28+00:00,219184,Cuando Nadie Ve,Morat,Cuando Nadie Ve,False
2018-12-20 15:32:19+00:00,140969,Girls Like You (feat. Cardi B) - Cardi B Version,Maroon 5,Girls Like You (feat. Cardi B),False
2018-12-20 15:34:59+00:00,160934,El Clavo,Prince Royce,El Clavo,False
2018-12-20 15:40:21+00:00,189992,Don't Stop Me Now - Remastered 2011,Queen,Jazz,False
2018-12-20 15:40:26+00:00,5200,Ya No Quiero Ná,Lola Indigo,Ya No Quiero Ná,False
2018-12-20 15:43:52+00:00,205920,no tears left to cry,Ariana Grande,Sweetener,False
2018-12-20 15:43:56+00:00,3931,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",False
